start,remoteLedStrip,ONButton
29772 usec, 9400 usec
4600 usec, 640 usec
520 usec, 640 usec
540 usec, 600 usec
560 usec, 640 usec
540 usec, 620 usec
540 usec, 640 usec
520 usec, 640 usec
520 usec, 620 usec
560 usec, 640 usec
1660 usec, 640 usec
1680 usec, 620 usec
1680 usec, 640 usec
1680 usec, 620 usec
1680 usec, 640 usec
1660 usec, 640 usec
1680 usec, 620 usec
1680 usec, 640 usec
1680 usec, 620 usec
540 usec, 640 usec
1660 usec, 640 usec
1680 usec, 640 usec
520 usec, 600 usec
580 usec, 600 usec
560 usec, 620 usec
540 usec, 640 usec
540 usec, 620 usec
1680 usec, 600 usec
560 usec, 620 usec
560 usec, 620 usec
1680 usec, 620 usec
1680 usec, 640 usec
1680 usec, 640 usec
1660 usec, 640 usec
41080 usec, 9380 usec
2280 usec, 600 usec
33644 usec, 9360 usec
2280 usec, 640 usec
stop
start,remoteLedStrip,OFFButton
34636 usec, 9380 usec
4660 usec, 600 usec
560 usec, 600 usec
560 usec, 620 usec
560 usec, 600 usec
560 usec, 620 usec
560 usec, 600 usec
560 usec, 600 usec
560 usec, 620 usec
560 usec, 600 usec
1700 usec, 620 usec
1700 usec, 600 usec
1680 usec, 640 usec
1700 usec, 600 usec
1720 usec, 600 usec
1700 usec, 600 usec
1700 usec, 620 usec
1700 usec, 580 usec
1720 usec, 620 usec
1680 usec, 640 usec
1700 usec, 600 usec
1700 usec, 620 usec
1680 usec, 640 usec
560 usec, 600 usec
560 usec, 580 usec
580 usec, 600 usec
580 usec, 600 usec
560 usec, 600 usec
560 usec, 620 usec
560 usec, 580 usec
580 usec, 620 usec
1700 usec, 600 usec
1700 usec, 580 usec
1740 usec, 580 usec
41200 usec, 9360 usec
2300 usec, 600 usec
33784 usec, 9380 usec
2280 usec, 600 usec
33724 usec, 9380 usec
2280 usec, 600 usec
stop
start,remoteLedStrip,BrightnessDown
49516 usec, 9360 usec
4620 usec, 660 usec
540 usec, 620 usec
560 usec, 600 usec
560 usec, 620 usec
560 usec, 620 usec
540 usec, 620 usec
540 usec, 640 usec
540 usec, 620 usec
540 usec, 600 usec
1720 usec, 620 usec
1680 usec, 620 usec
1680 usec, 620 usec
1720 usec, 600 usec
1700 usec, 640 usec
1680 usec, 640 usec
1680 usec, 620 usec
1680 usec, 600 usec
1720 usec, 600 usec
560 usec, 640 usec
1680 usec, 640 usec
1660 usec, 620 usec
1700 usec, 600 usec
580 usec, 620 usec
540 usec, 620 usec
560 usec, 620 usec
540 usec, 620 usec
1660 usec, 660 usec
540 usec, 600 usec
560 usec, 620 usec
560 usec, 620 usec
1700 usec, 600 usec
1700 usec, 620 usec
1680 usec, 640 usec
40840 usec, 9400 usec
2300 usec, 600 usec
33024 usec, 9380 usec
2300 usec, 640 usec
stop
start,remoteLedStrip,BrightnessUp
34956 usec, 9360 usec
4660 usec, 620 usec
560 usec, 600 usec
560 usec, 600 usec
560 usec, 600 usec
560 usec, 620 usec
560 usec, 600 usec
560 usec, 600 usec
580 usec, 620 usec
540 usec, 600 usec
1700 usec, 620 usec
1700 usec, 600 usec
1700 usec, 620 usec
1680 usec, 640 usec
1700 usec, 600 usec
1680 usec, 620 usec
1700 usec, 620 usec
1700 usec, 620 usec
1700 usec, 620 usec
560 usec, 600 usec
560 usec, 600 usec
1720 usec, 600 usec
560 usec, 600 usec
580 usec, 600 usec
560 usec, 600 usec
560 usec, 620 usec
560 usec, 600 usec
1700 usec, 600 usec
1720 usec, 620 usec
540 usec, 600 usec
1720 usec, 600 usec
1700 usec, 620 usec
1700 usec, 600 usec
1680 usec, 640 usec
41180 usec, 9340 usec
2320 usec, 600 usec
33764 usec, 9420 usec
2260 usec, 620 usec
33744 usec, 9380 usec
2300 usec, 620 usec
stop
start,remoteLedStrip,ButtonRed
23488 usec, 9440 usec
4600 usec, 640 usec
540 usec, 600 usec
560 usec, 600 usec
580 usec, 620 usec
540 usec, 640 usec
520 usec, 640 usec
540 usec, 620 usec
540 usec, 640 usec
520 usec, 640 usec
1680 usec, 600 usec
1700 usec, 640 usec
1660 usec, 660 usec
1660 usec, 640 usec
1680 usec, 640 usec
1660 usec, 640 usec
1680 usec, 620 usec
1660 usec, 660 usec
1680 usec, 600 usec
560 usec, 640 usec
520 usec, 640 usec
1680 usec, 640 usec
1660 usec, 640 usec
540 usec, 620 usec
540 usec, 620 usec
560 usec, 620 usec
540 usec, 640 usec
1660 usec, 640 usec
1680 usec, 600 usec
560 usec, 640 usec
540 usec, 600 usec
1700 usec, 640 usec
1640 usec, 660 usec
1680 usec, 640 usec
41100 usec, 9380 usec
2280 usec, 600 usec
33664 usec, 9380 usec
2280 usec, 600 usec
stop
start,remoteLedStrip,ButtonGreen
988 usec, 9380 usec
4620 usec, 640 usec
520 usec, 640 usec
540 usec, 620 usec
540 usec, 620 usec
540 usec, 640 usec
540 usec, 620 usec
540 usec, 600 usec
560 usec, 620 usec
560 usec, 620 usec
1680 usec, 640 usec
1680 usec, 620 usec
1680 usec, 600 usec
1720 usec, 600 usec
1700 usec, 640 usec
1680 usec, 620 usec
1680 usec, 640 usec
1680 usec, 620 usec
1680 usec, 640 usec
1680 usec, 620 usec
540 usec, 640 usec
1660 usec, 620 usec
1700 usec, 620 usec
540 usec, 640 usec
540 usec, 620 usec
540 usec, 640 usec
520 usec, 640 usec
540 usec, 600 usec
1700 usec, 620 usec
560 usec, 640 usec
520 usec, 640 usec
1680 usec, 600 usec
1680 usec, 660 usec
1660 usec, 640 usec
40820 usec, 9400 usec
2280 usec, 640 usec
33304 usec, 9440 usec
2240 usec, 640 usec
33644 usec, 9380 usec
2240 usec, 660 usec
33624 usec, 9400 usec
2280 usec, 620 usec
stop
start,remoteLedStrip,ButtonBlue
54548 usec, 9420 usec
4620 usec, 600 usec
560 usec, 640 usec
540 usec, 640 usec
520 usec, 620 usec
560 usec, 640 usec
520 usec, 620 usec
560 usec, 620 usec
540 usec, 640 usec
540 usec, 620 usec
1680 usec, 640 usec
1680 usec, 600 usec
1700 usec, 620 usec
1700 usec, 600 usec
1720 usec, 620 usec
1680 usec, 640 usec
1680 usec, 600 usec
1680 usec, 660 usec
1680 usec, 620 usec
540 usec, 640 usec
540 usec, 620 usec
540 usec, 640 usec
1680 usec, 640 usec
520 usec, 640 usec
540 usec, 640 usec
520 usec, 640 usec
540 usec, 600 usec
1700 usec, 640 usec
1680 usec, 640 usec
1660 usec, 640 usec
540 usec, 600 usec
1700 usec, 640 usec
1680 usec, 640 usec
1680 usec, 620 usec
41120 usec, 9420 usec
2280 usec, 640 usec
33664 usec, 9420 usec
2260 usec, 620 usec
33684 usec, 9400 usec
2260 usec, 680 usec
33404 usec, 9400 usec
